date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:05	117/117	---M-Z	200	added ('OK')	text/plain	date:Mon,%2018%20Sep%202023%2005:46:04%20GMT	http://three.rudhisasmito.com/robots.txt		(from )
11:16:08	179608/179608	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202023%2005:46:05%20GMT	http://three.rudhisasmito.com/msic/template-kit/homepage/	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/template-kit/homepage/index.html	(from )
11:16:08	188556/188556	---M-Z	200	added ('OK')	text/css	etag:%222e08c-5e6f3ee453e76-gzip%22	http://three.rudhisasmito.com/msic/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.4.4	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/plugins/jeg-elementor-kit/assets/css/elements/mainfc3c.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:09	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e2f99fa9e940-gzip%22	http://three.rudhisasmito.com/msic/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-includes/css/dist/block-library/style.min37ad.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:09	1111/1111	---M-Z	200	added ('OK')	text/css	etag:%22457-5e6f3ed4c1981-gzip%22	http://three.rudhisasmito.com/msic/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:10	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-5e6f39a2e0ef3-gzip%22	http://three.rudhisasmito.com/msic/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.13	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f62.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:10	19279/19279	---M-Z	200	added ('OK')	text/css	etag:%224b4f-5f075b0702996-gzip%22	http://three.rudhisasmito.com/msic/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:10	87186/87186	---M-Z	200	added ('OK')	text/css	etag:%2215492-5f075b07190f6-gzip%22	http://three.rudhisasmito.com/msic/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.9.2	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/plugins/elementor/assets/css/frontend-lite.min2e46.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:11	13501/13501	---M-Z	200	added ('OK')	text/css	etag:%2234bd-5e89e5ff92448-gzip%22	http://three.rudhisasmito.com/msic/wp-content/uploads/sites/3/elementor/css/post-95.css?ver=1663141796	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/uploads/sites/3/elementor/css/post-95ce8c.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:11	99068/99068	---M-Z	200	added ('OK')	text/css	etag:%22182fc-5e89e6011ad81-gzip%22	http://three.rudhisasmito.com/msic/wp-content/uploads/sites/3/elementor/css/post-133.css?ver=1663141797	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/uploads/sites/3/elementor/css/post-133554f.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:11	75684/75684	---M-Z	200	added ('OK')	text/css	etag:%22127a4-5e6f39a2dff53-gzip%22	http://three.rudhisasmito.com/msic/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.13	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend1f62.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:12	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-5f075b07019f6-gzip%22	http://three.rudhisasmito.com/msic/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.9.2	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min2e46.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
11:16:12	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-5f075b07019f6-gzip%22	http://three.rudhisasmito.com/msic/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.9.2	C:/My%20Web%20Sites/SRJ/three.rudhisasmito.com/msic/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min2e46.css	(from http://three.rudhisasmito.com/msic/template-kit/homepage/)
